#Date       Time        gpu   mclk   pclk     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB     MB      %      %      %      %      %      % 
 20231227   17:44:08      0    405    210    108     12      0      0      0      0      0      0      0 
 20231227   17:44:09      0    405    210    108     12      0      0      0      0      0      0      0 
 20231227   17:44:10      0   7300   1882    243     14      0      0      0      0      0      0      0 
 20231227   17:44:11      0   7300   1882    253     14      0      0      0      0      0      0      0 
 20231227   17:44:12      0   7300   1882    253     14      0      0      0      0      0      0      0 
 20231227   17:44:13      0   7300   1882    253     14      0      0      0      0      0      0      0 
 20231227   17:44:14      0   7300   1882    253     14      0      0      0      0      0      0      0 
